
==== NEW PROFILING RUN ====
         316667 function calls (313840 primitive calls) in 2.439 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    2.453    2.453 main.py:16(main)
        1    0.000    0.000    2.004    2.004 _default_app.py:57(run)
        1    0.000    0.000    2.004    2.004 application.py:138(run)
        1    0.000    0.000    2.004    2.004 _qt.py:329(_vispy_run)
        1    0.239    0.239    2.004    2.004 {built-in method exec}
 1078/598    0.008    0.000    1.768    0.003 event.py:402(__call__)
  466/203    0.003    0.000    1.756    0.009 event.py:467(_invoke_callback)
    55/35    0.000    0.000    1.088    0.031 _qt.py:625(event)
    55/35    0.045    0.001    1.087    0.031 {function QtBaseCanvasBackend.event at 0x0000025D4A891940}
       22    0.000    0.000    0.958    0.044 _qt.py:967(_vispy_timeout)
       22    0.001    0.000    0.958    0.044 timer.py:146(_timeout)
       22    0.005    0.000    0.953    0.043 Class_simulation.py:22(on_timer)
       12    0.000    0.000    0.751    0.063 _qt.py:923(paintGL)
       46    0.560    0.012    0.560    0.012 boxing.py:59(wrapper)
       12    0.000    0.000    0.471    0.039 canvas.py:204(on_draw)
       10    0.000    0.000    0.471    0.047 canvas.py:274(_draw_scene)
       10    0.001    0.000    0.469    0.047 canvas.py:280(draw_visual)
       60    0.000    0.000    0.467    0.008 visuals.py:103(draw)
       50    0.000    0.000    0.466    0.009 visual.py:502(draw)
        1    0.000    0.000    0.438    0.438 Class_GUI.py:11(__init__)
       22    0.114    0.005    0.391    0.018 Class_GUI.py:115(draw_particles)
        1    0.000    0.000    0.290    0.290 _qt.py:554(keyPressEvent)
        1    0.000    0.000    0.290    0.290 _qt.py:637(_keyEvent)
        1    0.000    0.000    0.290    0.290 canvas.py:269(keys_check)
        1    0.000    0.000    0.290    0.290 canvas.py:450(close)
        1    0.000    0.000    0.290    0.290 _qt.py:872(_vispy_close)
       22    0.136    0.006    0.277    0.013 markers.py:584(set_data)
       10    0.000    0.000    0.273    0.027 canvas.py:415(swap_buffers)
       10    0.000    0.000    0.273    0.027 _qt.py:888(_vispy_swap_buffers)
       10    0.273    0.027    0.273    0.027 {built-in method swapBuffers}
    50/40    0.000    0.000    0.269    0.007 visual.py:659(draw)
       39    0.000    0.000    0.255    0.007 program.py:99(draw)
        2    0.000    0.000    0.247    0.123 application.py:69(process_events)
        2    0.000    0.000    0.247    0.123 _qt.py:322(_vispy_process_events)
       20    0.001    0.000    0.203    0.010 text.py:522(_prepare_draw)
        3    0.001    0.000    0.179    0.060 text.py:237(_text_to_vbo)
       28    0.000    0.000    0.178    0.006 text.py:77(__getitem__)
       19    0.001    0.000    0.178    0.009 text.py:84(_load_char)
       64    0.000    0.000    0.155    0.002 context.py:156(flush_commands)
       39    0.002    0.000    0.155    0.004 program.py:464(draw)
       64    0.000    0.000    0.154    0.002 glir.py:582(flush)
       64    0.005    0.000    0.154    0.002 glir.py:501(flush)
       76    0.001    0.000    0.148    0.002 glir.py:812(parse)
        1    0.000    0.000    0.147    0.147 canvas.py:113(__init__)
      758    0.003    0.000    0.147    0.000 glir.py:743(_parse)
        1    0.000    0.000    0.138    0.138 canvas.py:115(__init__)
        1    0.000    0.000    0.138    0.138 canvas.py:219(create_native)
        1    0.000    0.000    0.137    0.137 _qt.py:366(__init__)
       21    0.001    0.000    0.126    0.006 transform_system.py:138(__init__)
        2    0.000    0.000    0.124    0.062 {built-in method sendPostedEvents}
        2    0.001    0.001    0.123    0.061 {built-in method processEvents}
       11    0.000    0.000    0.119    0.011 visual.py:326(__init__)
        1    0.000    0.000    0.118    0.118 _qt.py:459(_vispy_set_visible)
        1    0.083    0.083    0.118    0.118 {built-in method showFullScreen}
       16    0.000    0.000    0.113    0.007 visual.py:147(__init__)
      160    0.001    0.000    0.109    0.001 chain.py:32(__init__)
      188    0.051    0.000    0.109    0.001 color_array.py:39(_user_to_rgba)
       61    0.000    0.000    0.107    0.002 color_array.py:135(__init__)
       10    0.000    0.000    0.102    0.010 glir.py:919(set_data)
        1    0.000    0.000    0.101    0.101 label.py:24(__init__)
        2    0.000    0.000    0.097    0.049 text.py:411(__init__)
       19    0.058    0.003    0.094    0.005 text.py:652(render_to_texture)
       39    0.000    0.000    0.089    0.002 program.py:104(build_if_needed)
        5    0.000    0.000    0.088    0.018 program.py:126(_build)
      320    0.001    0.000    0.084    0.000 function.py:617(__init__)
       19    0.001    0.000    0.083    0.004 _freetype.py:45(_load_glyph)
