         100040387 function calls (100020844 primitive calls) in 21.030 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   21.185   21.185 main.py:5(main)
        1    0.000    0.000   14.194   14.194 _default_app.py:57(run)
        1    0.000    0.000   14.194   14.194 application.py:138(run)
        1    0.000    0.000   14.194   14.194 _qt.py:329(_vispy_run)
        1    0.269    0.269   14.194   14.194 {built-in method exec}
 2111/914    0.009    0.000   13.810    0.015 event.py:402(__call__)
1223/1045    0.034    0.000   13.796    0.013 event.py:467(_invoke_callback)
      308    0.001    0.000   13.489    0.044 _qt.py:967(_vispy_timeout)
      308    0.002    0.000   13.489    0.044 timer.py:146(_timeout)
      308    0.002    0.000   13.445    0.044 Class_simulation.py:22(on_timer)
      308    5.838    0.019   11.989    0.039 Class_Particle.py:76(update_positions)
        1    0.016    0.016    6.642    6.642 Class_Particle.py:61(generate_particles)
     8368    0.829    0.000    6.580    0.001 {built-in method builtins.all}
 17657963    2.921    0.000    5.751    0.000 Class_Particle.py:72(<genexpr>)
 27817998    3.041    0.000    4.573    0.000 Class_Particle.py:166(_distance)
  5084034    1.609    0.000    2.742    0.000 Class_Particle.py:111(_apply_interaction_forces)
 33221118    1.826    0.000    1.826    0.000 {built-in method math.hypot}
      308    0.465    0.002    1.343    0.004 Class_GUI.py:50(draw_particles)
  3855087    1.066    0.000    1.276    0.000 Class_Particle.py:139(_handle_collision)
  356/200    0.002    0.000    0.472    0.002 _qt.py:625(event)
  356/200    0.140    0.000    0.470    0.002 {function QtBaseCanvasBackend.event at 0x00000267054CCFE0}
      309    0.468    0.002    0.468    0.002 Class_Particle.py:121(update_quadtree)
        1    0.000    0.000    0.346    0.346 Class_GUI.py:7(__init__)
      156    0.001    0.000    0.328    0.002 _qt.py:923(paintGL)
     3885    0.324    0.000    0.324    0.000 {built-in method numpy.array}
  1540000    0.320    0.000    0.320    0.000 Class_Particle.py:126(_handle_boundaries)
        1    0.000    0.000    0.310    0.310 canvas.py:113(__init__)
        1    0.000    0.000    0.306    0.306 canvas.py:115(__init__)
  1548033    0.221    0.000    0.306    0.000 Class_Particle.py:52(_limit_speed)
      156    0.001    0.000    0.302    0.002 canvas.py:204(on_draw)
  5084034    0.301    0.000    0.301    0.000 Class_Interaction_Matrix.py:28(get_interaction)
      155    0.001    0.000    0.301    0.002 canvas.py:274(_draw_scene)
      155    0.003    0.000    0.290    0.002 canvas.py:280(draw_visual)
      620    0.001    0.000    0.283    0.000 visuals.py:103(draw)
      310    0.001    0.000    0.280    0.001 visual.py:502(draw)
        1    0.000    0.000    0.261    0.261 canvas.py:219(create_native)
        1    0.000    0.000    0.250    0.250 _qt.py:366(__init__)
     1233    0.243    0.000    0.243    0.000 {built-in method builtins.print}
        1    0.000    0.000    0.195    0.195 _qt.py:813(_init_specific)
      465    0.001    0.000    0.183    0.000 visual.py:659(draw)
      309    0.001    0.000    0.141    0.000 program.py:99(draw)
  1573580    0.135    0.000    0.135    0.000 {method 'append' of 'list' objects}
      308    0.025    0.000    0.122    0.000 markers.py:584(set_data)
      155    0.002    0.000    0.116    0.001 text.py:522(_prepare_draw)
      616    0.002    0.000    0.114    0.000 arrayprint.py:1652(_array_str_implementation)
      616    0.003    0.000    0.112    0.000 arrayprint.py:582(array2string)
      308    0.111    0.000    0.111    0.000 Class_Particle.py:170(get_positions_and_colors)
      309    0.005    0.000    0.104    0.000 program.py:464(draw)
      616    0.002    0.000    0.101    0.000 arrayprint.py:527(wrapper)
      621    0.001    0.000    0.101    0.000 context.py:156(flush_commands)
      616    0.003    0.000    0.098    0.000 arrayprint.py:544(_array2string)
      777    0.002    0.000    0.096    0.000 glir.py:812(parse)
      621    0.000    0.000    0.095    0.000 glir.py:582(flush)
      621    0.002    0.000    0.095    0.000 glir.py:501(flush)
     5672    0.006    0.000    0.094    0.000 glir.py:743(_parse)
     47/3    0.000    0.000    0.093    0.031 <frozen importlib._bootstrap>:1349(_find_and_load)
     47/3    0.000    0.000    0.093    0.031 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
     46/3    0.000    0.000    0.092    0.031 <frozen importlib._bootstrap>:911(_load_unlocked)
     39/3    0.000    0.000    0.092    0.031 <frozen importlib._bootstrap_external>:993(exec_module)
    102/6    0.000    0.000    0.090    0.015 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
     40/3    0.000    0.000    0.090    0.030 {built-in method builtins.exec}
  1573828    0.088    0.000    0.088    0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.073    0.073 text.py:237(_text_to_vbo)
        9    0.000    0.000    0.072    0.008 text.py:77(__getitem__)
        8    0.000    0.000    0.072    0.009 text.py:84(_load_char)
        8    0.000    0.000    0.060    0.008 _freetype.py:45(_load_glyph)
        3    0.000    0.000    0.060    0.020 __init__.py:1(<module>)
      616    0.003    0.000    0.058    0.000 arrayprint.py:473(_get_format_function)
        1    0.000    0.000    0.054    0.054 _qt.py:459(_vispy_set_visible)
        1    0.019    0.019    0.054    0.054 {built-in method showNormal}
      616    0.001    0.000    0.052    0.000 arrayprint.py:432(<lambda>)
      616    0.002    0.000    0.051    0.000 arrayprint.py:939(__init__)
